Provinz;WorldArea;Region;Nation;IPC;Naval-Base;Air Base;Minor Ind.;Major Ind.;"Supplie
Route";INF;M.INF;ARI;TANK;AAA;FIGHTER;T.BOMB;S.BOMB;SUB;DEST;CRUISER;B.SHIP;CARRIER;CARRIER (F);CARRIER (FF);CARRIER (FT);CARRIER (T);CARRIER (TT);CAR;CAR(I);CAR (II);CAR (IM);CAR (IT);CAR (IA);CAR (IAAA);Allies
Southern France;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Southern Italy;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soviet Far East;N/A;;SU;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suiyuan ;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sumatra;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suriname;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweden;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syria;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Szechwan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tambov;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tanganyika Territory;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timguska;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tobruk;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trans-Jordan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tsagaan-Olom;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tsinghai;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tunisia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turkey;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turkmenistan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ukraine;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulaanbaatar;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Union of South Africa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Kingdom;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urals;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uruguay;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venezuela;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Victoria;N/A;;ANZAC;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volgograd;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volodga;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vyborg;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wake Island;N/A;;US;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
West India;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
West Indies;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Australia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Canada;N/A;;GBP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Germany;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Ukraine;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western United States;N/A;;US;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yakut S. S. R. ;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yenisey;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yugoslavia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yunnan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
